node_id,label,attention_centrality,trade_centrality,amplification_ratio
2319,HRV_D35,0.021112064453764623,7.269159931962168e-08,286492.14630551747
1892,ROU_M69_M70,0.02111204581381417,7.273628810930147e-08,286318.2614036547
944,GRC_M74_M75,0.02111200923266554,7.438231959176807e-08,280065.794565587
2046,SVN_H49,0.021112105367288688,7.490222745246256e-08,278148.6930737463
1154,IRL_H53,0.021112335604262435,7.556686263320924e-08,275737.24295587646
1406,LUX_C16,0.021111929024935933,7.627073906386093e-08,273220.2290376418
1613,MLT_M71,0.021111298320379356,7.684259955944645e-08,271204.94998702075
454,CZE_C16,0.02111186989295774,7.70316925210467e-08,270555.0682149237
1479,LVA_D35,0.021110148223844286,7.708347570837489e-08,270353.5931556913
2129,TUR_A02,0.021112243952087214,7.888830131222429e-08,264272.03489501006
1507,LVA_P85,0.021110285207899086,7.990450523507866e-08,260928.42600743164
1166,IRL_M72,0.02111203378273418,8.097717973958495e-08,257535.4976811876
900,GRC_C10_C12,0.021111586570572986,8.21183298911862e-08,253994.35477362305
1467,LVA_C21,0.021110318026140943,8.284709196400154e-08,251771.61821192718
1768,POL_H51,0.021111735820332145,8.292892558774791e-08,251543.02491647855
1485,LVA_G47,0.02111047264755852,8.449114528019343e-08,246931.68606374244
395,CYP_B,0.02110066137569224,8.489152086340101e-08,245666.40762188885
1217,ITA_K65,0.021112270573562,9.005005374664404e-08,231875.4323013254
433,CYP_K65,0.02110243405503938,9.077322121638796e-08,229941.08494113875
1502,LVA_M72,0.021110275375061795,9.246970138713349e-08,225851.53329662522
1405,LUX_C13_C15,0.021111985993675655,9.283302095389576e-08,224995.27116417675
584,DNK_E36,0.021076446583187906,9.311076443628993e-08,223953.62219649178
1145,IRL_E37_E39,0.021112305516830493,9.35948626657236e-08,223186.59726201525
1880,ROU_H51,0.02111204312259878,9.41824763008682e-08,221805.9872267287
959,HUN_C17,0.021111344051568354,9.485651474566495e-08,220239.01148067875
923,GRC_G45,0.021111737213142214,9.514959389851351e-08,219571.77723938995
663,ESP_M73,0.021112182890368092,9.768031320438594e-08,213945.2359321225
1481,LVA_E37_E39,0.021110199903553076,9.84529023125181e-08,212263.2865677158
216,BGR_M74_M75,0.021112068328247656,9.875447986328387e-08,211640.302843364
204,BGR_J58,0.02111185122375297,9.913029890050244e-08,210843.78510376177
1413,LUX_C23,0.021112039647801947,9.930427505618207e-08,210479.9584661446
106,AUT_O84,0.021112006344064474,1.0096263614007713e-07,207056.30163445973
674,EST_A03,0.02111038375455695,1.0158096324749698e-07,205792.4110502253
1127,IRL_C17,0.021111943336877742,1.0313866091997662e-07,202729.1608166617
1335,KOR_M73,0.02111296993873522,1.0358443959503035e-07,201874.86800606683
1817,PRT_E37_E39,0.021112193502779947,1.0359169370148026e-07,201853.44319059586
2320,HRV_E36,0.02111203595998347,1.0412296344136754e-07,200831.81893705585
563,DNK_B,0.02107750295280503,1.0488376917075367e-07,199062.643102687
696,EST_E36,0.02111072455256973,1.0946209094484978e-07,191112.84579168112
611,DNK_P85,0.020773323549789207,1.083076073253168e-07,190044.62779945863
903,GRC_C17,0.02111194805252464,1.1040320788985723e-07,189509.3368711404
400,CYP_C18,0.021104588123810584,1.1121127562291517e-07,188079.03222428676
177,BGR_C19,0.021111742657988652,1.1162556089109654e-07,187450.72158533076
657,ESP_K65,0.02111220138006417,1.1284025910425572e-07,185454.61461686826
81,AUT_E37_E39,0.021112018716697222,1.1311058759775696e-07,185013.6710461757
143,BEL_H50,0.021107396315357328,1.1340218103666573e-07,184501.69502094053
1165,IRL_M71,0.021112425997973104,1.1374194244109893e-07,183999.2033323896
1686,NOR_C16,0.02110759826866482,1.184338343386368e-07,176730.47495751813
430,CYP_J61,0.02110049187922512,1.1957969947388471e-07,174992.07554249285
490,CZE_K66,0.02111172442177812,1.2073258254511583e-07,173427.0643108538
